SiteID,Lat,Long,Elev,MTAnn,Pann,pH,OrgC,NTOT,PTOT,K,Clay,Silt,Sand,Sdep
GP14,-33.3932,121.6507,184,15.7,399,6.4,0.96,0.043,25,0.12,1.7,1.4,96.9,5
GP15,-33.1628,120.9702,233,16,325,8.1,1.49,0.097,64,0.77,2.2,2.1,95.7,9
GP16,-33.1609,120.9939,231,16,325,8.5,2.86,0.209,92,2.23,2.3,4.1,93.6,4
GP17,-33.1515,121.2073,215,16,333,8.4,4.2,0.277,140,2.46,3.4,3.6,93,4
GP18,-33.6853,120.7778,121,16.1,480,6.5,1.57,0.053,33,0.32,3,4.4,92.6,1
GP19,-33.6617,120.8017,142,16.1,473,6,1.68,0.108,83,0.18,3.6,3.5,93,1
GP20,-33.5118,120.5866,175,16.1,412,7,2.26,0.079,35,0.46,1.5,2.8,95.7,2
GP21,-33.4948,120.5985,186,16.1,408,5.8,0.69,0.023,12,0.04,1.3,1.1,97.6,9
GP22,-33.4753,120.6127,200,16,403,6.2,0.45,0.019,11,0.03,1.7,1.8,96.5,2
GP23,-33.3711,120.7806,215,16,368,6.2,2.23,0.089,58,0.15,4.2,2.3,93.5,2
GP24,-33.3563,121.0276,235,15.8,365,6.4,0.99,0.039,25,0.15,2.5,3.7,93.8,2
GP25,-33.2692,121.6428,201,15.8,365,7.5,1.03,0.055,37,0.39,0.2,2.2,97.6,2
HY01,-32.6319,118.9944,391,15.9,348,6.3,1.25,0.044,46,0.12,1.3,2.4,96.4,2
HY03,-32.6444,118.9864,394,15.9,349,6.5,2.1,0.085,84,0.61,0.3,1.8,98,2
HY04,-32.6908,118.975,397,15.8,350,6.1,0.99,0.03,17,0.24,1.2,2.3,96.6,1
HY05,-32.7597,119.0019,420,15.6,354,6.2,1.63,0.046,22,0.15,2.7,3.3,94,3
HY06,-32.7694,119.0089,423,15.6,354,6.1,0.69,0.025,10,0.05,3.2,4.3,92.5,9
HY07,-32.7778,119.2336,422,15.7,347,6.1,0.43,0.022,18,0.03,1.2,1.5,97.2,1
HY09,-32.9139,119.4756,339,16,327,5.7,0.53,0.024,14,0.15,2.7,2.5,94.8,9
HY10,-32.6931,119.3403,323,16.3,329,6.2,1.64,0.096,80,0.34,1.8,1.7,96.4,4
HY12,-32.5422,119.3783,310,16.5,327,7.4,2.08,0.115,110,1.53,2.1,3.9,94.1,3
HY13,-32.6147,119.1028,342,16.2,339,6.4,0.85,0.034,28,0.22,2.8,2.6,94.5,2
HY14,-32.5572,119.0678,331,16.3,338,6.5,0.67,0.034,27,0.31,4.7,3.3,92.1,3
HY15,-32.7797,119.0759,451,15.5,357,6.8,2.25,0.084,37,0.31,4.9,2.9,92.2,2
HY16,-32.8217,119.0661,409,15.7,350,6.6,1.94,0.079,74,0.64,4.3,3.8,91.9,2
HY17,-32.8246,119.0436,408,15.7,351,5.7,0.5,0.021,20,0.11,2.9,2.9,94.3,2
HY18,-32.8219,119.0336,407,15.7,351,6.6,0.99,0.048,50,0.19,1.2,3.1,95.7,7
HY19,-32.7305,119.0034,402,15.8,350,5.8,2.52,0.065,46,0.2,9.8,3.3,86.9,1
HY21,-32.8175,119.4011,313,16.2,325,6.9,2.75,0.124,69,1.31,4.6,5.4,90,1
HY22,-32.6078,119.3472,366,16.1,337,6.1,1.18,0.048,40,0.22,2.3,2.3,95.4,2
HY23,-32.6881,119.0946,357,16.1,341,6.6,1.24,0.05,41,0.2,4.3,2.7,92.9,1
HY24,-32.7022,119.3692,320,16.3,328,7.9,2.46,0.124,64,0.74,2.2,2.4,95.4,9
HY26,-32.7552,119.1314,398,15.8,346,5.8,1.2,0.04,29,0.08,3.3,1.6,95.1,4
HY27,-32.753,119.1109,392,15.8,346,6.2,0.7,0.027,18,0.18,3.1,2,94.8,1
HY28,-32.756,119.1378,396,15.8,346,6.2,0.53,0.026,21,0.19,3.7,3.1,93.2,1
HY29,-32.639,118.9761,398,15.9,350,6.7,2.74,0.094,73,0.97,2.5,3.7,93.8,1
HY30,-32.63,118.9748,398,15.9,350,6.2,1.08,0.039,30,0.16,2.6,2.7,94.6,1
HY31,-32.6244,118.9754,398,15.9,350,6.2,1.02,0.044,43,0.27,2.6,3.3,94.1,2
HY32,-32.6136,118.9536,400,15.9,350,6.2,0.74,0.036,31,0.35,3.7,2.8,93.4,4
