SiteID,Lat,Long,SpCode,CC,Family,Genus,Species,Name,lifeform
HY63,-32.644,119.3826,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
HY73,-32.5511,119.4415,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
KL03,-31.9187,117.9798,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
LK24,-33.2615,119.7578,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
ML15,-28.9597,115.5499,GUNQUA,,Aizoaceae,Gunniopsis,quadrifida,Gunniopsis quadrifida,shrub
MN13,-31.1478,118.4757,GUNRUB,P3,Aizoaceae,Gunniopsis,rubra,Gunniopsis rubra,annual herb
MN17,-31.4242,118.6841,GUNRUB,P3,Aizoaceae,Gunniopsis,rubra,Gunniopsis rubra,annual herb
MO02,-29.4786,116.2083,TETDIP,,Aizoaceae,Tetragonia,diptera,Tetragonia diptera,perennial herb
MO07,-29.1102,116.1975,GUNQUA,,Aizoaceae,Gunniopsis,quadrifida,Gunniopsis quadrifida,shrub
NO20,-28.0887,114.2024,TETIMP,,Aizoaceae,Tetragonia,implexicoma,Tetragonia implexicoma,NA
NR01,-32.6111,117.1,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
SPM001E,-33.3556,118.8239,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
ST12,-33.9436,117.6447,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
ST18,-34.2839,118.5204,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
ST22,-33.8145,118.4743,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
ST23,-33.9691,118.1087,CARMOD,,Aizoaceae,Carpobrotus,modestus,Carpobrotus modestus,perennial herb
ST26,-33.9471,117.6439,DISCRA,,Aizoaceae,Disphyma,crassifolium,Disphyma crassifolium,perennial herb
WU05b,-29.9772,116.5743,GUNRUB,P3,Aizoaceae,Gunniopsis,rubra,Gunniopsis rubra,annual herb
WU11,-30.2183,116.9433,GUNRUB,P3,Aizoaceae,Gunniopsis,rubra,Gunniopsis rubra,annual herb
WU16,-30.1664,116.5199,TETDIP,,Aizoaceae,Tetragonia,diptera,Tetragonia diptera,perennial herb
BE03,-30.634,118.4275,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
BE05,-30.6609,118.4772,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
BE08,-30.5304,117.5791,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
BE08,-30.5304,117.5791,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
BE08,-30.5304,117.5791,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
BE12,-30.3311,117.7534,PTISTI,,Amaranthaceae,Ptilotus,stirlingii,Ptilotus stirlingii,shrub
BE12,-30.3311,117.7534,PTIDIV,,Amaranthaceae,Ptilotus,divaricatus,Ptilotus divaricatus,shrub
BE13,-30.3487,117.758,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
BE13,-30.3487,117.758,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
BE14,-30.5026,117.5618,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
BE14,-30.5026,117.5618,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
BE15,-30.5458,117.5761,PTIGAU,,Amaranthaceae,Ptilotus,gaudichaudii,Ptilotus gaudichaudii,shrub
BE15,-30.5458,117.5761,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
BE19,-30.8642,118.0592,PTIOBO,,Amaranthaceae,Ptilotus,obovatus,Ptilotus obovatus,shrub
BE19,-30.8642,118.0592,PTISPA,,Amaranthaceae,Ptilotus,spathulatus,Ptilotus spathulatus,shrub
DA03,-33.3131,116.8061,PTIMAN,,Amaranthaceae,Ptilotus,manglesii,Ptilotus manglesii,shrub
DA05,-33.4881,116.8867,PTIHOL,,Amaranthaceae,Ptilotus,holosericeus,Ptilotus holosericeus,shrub
